iter	Passed	Remaining
0	4	4638
1	8	4191
2	11	3983
3	15	3900
4	19	3879
5	23	3823
6	26	3784
7	30	3732
8	33	3700
9	37	3683
10	40	3663
11	44	3643
12	47	3624
13	51	3618
14	54	3598
15	58	3586
16	61	3572
17	65	3562
18	68	3556
19	72	3547
20	75	3535
21	79	3530
22	82	3524
23	86	3527
24	90	3534
25	94	3529
26	97	3525
27	101	3523
28	105	3525
29	108	3522
30	112	3525
31	116	3521
32	119	3516
33	123	3515
34	127	3515
35	131	3514
36	134	3511
37	138	3507
38	142	3504
39	145	3502
40	150	3509
41	153	3512
42	157	3506
43	161	3501
44	164	3501
45	168	3496
46	172	3497
47	176	3494
48	179	3491
49	183	3487
50	187	3484
51	190	3481
52	194	3478
53	198	3480
54	202	3475
55	205	3469
56	209	3466
57	213	3465
58	216	3460
59	220	3456
60	223	3447
61	227	3439
62	230	3430
63	234	3423
64	237	3416
65	240	3407
66	244	3399
67	247	3395
68	251	3387
69	254	3380
70	257	3374
71	261	3367
72	264	3360
73	267	3352
74	271	3344
75	274	3338
76	277	3331
77	281	3324
78	284	3321
79	288	3315
80	291	3308
81	295	3305
82	298	3297
83	301	3290
84	305	3284
85	308	3278
86	311	3273
87	315	3268
88	318	3262
89	322	3256
90	325	3251
91	328	3245
92	332	3240
93	335	3234
94	338	3228
95	342	3225
96	345	3219
97	349	3218
98	353	3213
99	356	3208
100	359	3203
101	363	3197
102	366	3191
103	369	3186
104	373	3182
105	376	3176
106	380	3172
107	383	3166
108	386	3160
109	390	3157
110	393	3152
111	396	3146
112	400	3141
113	403	3137
114	407	3132
115	410	3126
116	413	3121
117	416	3116
118	420	3112
119	424	3109
120	427	3105
121	430	3098
122	433	3091
123	436	3084
124	440	3080
125	443	3074
126	446	3068
127	449	3061
128	452	3057
129	455	3051
130	459	3045
131	462	3040
132	465	3034
133	468	3029
134	472	3025
135	475	3019
136	478	3013
137	481	3007
138	484	3002
139	487	2997
140	491	2992
141	494	2986
142	497	2980
143	500	2974
144	503	2970
145	506	2964
146	509	2959
147	513	2953
148	516	2950
149	519	2945
150	523	2940
151	526	2935
152	529	2930
153	532	2924
154	535	2920
155	538	2914
156	541	2910
157	545	2905
158	548	2899
159	551	2895
160	554	2890
161	557	2884
162	560	2879
163	564	2875
164	567	2870
165	570	2865
166	573	2861
167	576	2856
168	579	2851
169	583	2847
170	586	2842
171	589	2837
172	592	2832
173	595	2827
174	598	2823
175	602	2818
176	605	2814
177	608	2809
178	611	2804
179	614	2800
180	617	2796
